player_name,Recieved,KPG,DPG,games,BaitFactor,PenRate,PenHit
JhonJM_DONER,"2,535.63",0.90,"4,016.23",40,1.58,84,316/372
Sabo_Octo,"2,940.62",0.41,"3,862.97",34,1.31,82,212/257
Muscles1__BURBO,"2,508.88",0.80,"3,793.28",40,1.51,80,366/452
Chase591_TEAM,"2,589.84",0.97,"3,728.13",31,1.44,82,322/388
Ivory_FILTHY,"2,031.00",0.25,"3,658.13",8,1.80,75,54/72
Dejdy_BURBO,"2,607.78",0.81,"3,655.63",32,1.40,87,237/272
MrSwindoll_FILTHY,"3,391.23",1.00,"3,616.50",22,1.07,82,133/161
Spirit__DOPA,"2,817.33",0.90,"3,562.15",40,1.26,83,337/403
_Deft_STAKD,"2,298.33",0.95,"3,525.86",21,1.53,81,166/204
PM__DOPA,"2,457.77",0.52,"3,372.42",31,1.37,82,235/285
Seas_GCZ,"3,188.11",1.00,"3,368.92",36,1.06,82,245/297
Abe_QUOKKAS,"3,012.45",0.41,"3,366.17",29,1.12,81,159/195
Skyy_BRIDGE,"3,077.13",0.13,"3,349.38",8,1.09,75,37/49
Space_QUOKKAS,"3,117.92",0.64,"3,328.79",39,1.07,81,213/260
Kookie_Octo,"3,253.91",0.68,"3,314.21",34,1.02,83,216/258
O_P_Hacker__STAKD,"3,128.75",0.75,"3,312.80",40,1.06,85,221/257
_Leiwii,"3,431.44",0.56,"3,266.44",16,0.95,83,102/122
Niklas_Bench,"2,314.08",0.72,"3,266.23",39,1.41,81,232/285
Obliterator_DOGS,"2,790.35",1.35,"3,251.76",17,1.17,88,112/126
Kiwi_DOGS,"2,797.78",0.41,"3,243.81",32,1.16,84,217/258
DarkNinja_BENCH,"2,337.14",0.79,"3,202.50",14,1.37,80,94/117
Jed_DELULU,"3,176.36",0.56,"3,177.76",45,1.00,78,247/314
Lemisandrus_7V7,"2,426.83",0.86,"3,164.57",35,1.30,86,235/273
Pasta_Bench,"2,781.87",0.77,"3,155.64",39,1.13,86,236/273
Nighty_10D_BANANA,"3,110.44",0.59,"3,138.44",32,1.01,81,182/222
woterek__JESTERS,"2,597.31",0.69,"3,128.63",32,1.20,83,369/444
Ruev_BRIDGE,"2,739.10",0.83,"3,126.47",30,1.14,80,141/176
Maeril_DELULU,"3,203.86",0.97,"3,125.89",37,0.98,80,194/241
verwi_Octo,"3,141.76",0.59,"3,108.21",34,0.99,83,180/216
WOT457_TOURNAMENT_NA25,"3,045.92",0.92,"3,081.46",13,1.01,79,84/106
Alex__FUMES,"2,800.66",0.53,"3,057.83",47,1.09,78,241/308
Mitsua_TEAM,"2,557.23",0.68,"3,057.10",31,1.20,81,192/236
PressAlt_TEAM,"3,074.33",1.00,"3,034.07",15,0.99,82,70/85
OBER_FILTHY,"2,538.45",0.55,"3,002.42",33,1.18,79,179/224
Hobo_GCZ,"2,827.83",0.69,"2,998.57",35,1.06,78,215/274
Gater_TEAM,"2,733.13",0.58,"2,990.35",31,1.09,76,179/235
Dragonwater_DOPA,"3,238.26",0.85,"2,923.66",47,0.90,77,230/298
Pubmaxxer_DOGS,"3,093.78",0.37,"2,892.15",27,0.93,80,131/162
PHARAOH_FILTHY,"3,202.18",0.77,"2,873.97",39,0.90,78,181/230
Tankarino_DOGS,"3,279.97",0.50,"2,865.59",32,0.87,82,176/214
External007_DOGS,"3,004.84",0.65,"2,863.74",31,0.95,83,191/230
JyRyster_TEAM,"3,073.26",0.58,"2,861.94",31,0.93,82,144/174
Haasaka_Bench,"2,140.79",0.54,"2,847.36",39,1.33,82,274/332
jacmac1210_TEAM,"3,351.77",0.50,"2,845.08",26,0.85,80,110/136
Crisis_FILTHY,"2,544.09",0.45,"2,829.97",33,1.11,78,181/231
Dika_DONER,"2,575.05",0.62,"2,826.51",39,1.10,80,212/262
Paradox_BASED,"2,823.30",0.67,"2,825.76",33,1.00,81,165/202
Day__Muscles,"2,995.47",0.74,"2,794.89",38,0.93,79,177/222
will_GCZ,"2,940.05",0.68,"2,767.00",38,0.94,82,180/218
DagZFG_DOGS,"2,760.08",0.59,"2,712.03",39,0.98,84,207/246
Epic_GCZ,"3,137.35",0.49,"2,704.92",37,0.86,77,188/243
mrhood_FUMES,"3,040.70",0.43,"2,658.78",46,0.87,79,235/297
Copium_ILoveDrapsM_Alex,"2,629.19",0.56,"2,652.25",16,1.01,77,75/97
Tayloo_BENCH,"2,763.94",0.84,"2,610.71",31,0.94,88,157/178
defund_DOGS,"3,490.05",0.32,"2,548.37",19,0.73,84,75/89
Flounder__BYE,"3,583.79",0.72,"2,524.28",29,0.70,78,126/160
0ctobear_BURBO,"2,914.43",0.43,"2,491.86",21,0.86,84,126/149
Hockey_DOPA,"2,978.00",0.44,"2,477.78",32,0.83,79,129/162
Jim_BYE,"3,497.79",0.63,"2,473.25",24,0.71,79,91/114
Avid_BASED,"2,621.93",0.47,"2,438.93",30,0.93,88,131/148
Zray_FUMES,"2,897.53",0.37,"2,388.10",30,0.82,83,119/143
RNG__BASED,"2,473.24",0.45,"2,369.97",33,0.96,79,193/242
Simon__FUMES,"2,374.36",0.77,"2,365.62",47,1.00,83,447/535
Kapahna_DOGS,"3,328.91",0.64,"2,333.73",22,0.70,73,99/135
Astatine_DOGS,"3,144.08",0.60,"2,288.20",25,0.73,78,119/152
Aether_TEAM,"2,789.17",0.50,"2,280.13",24,0.82,79,85/107
Sprite_BEYOND,"2,552.06",0.29,"2,195.84",31,0.86,76,128/167
Bolt__FUMES,"3,176.84",0.59,"2,189.34",32,0.69,80,115/143
Platinumdust_OCTO,"3,364.24",0.48,"2,156.81",21,0.64,80,69/86
DrapsM_BURBO,"4,400.00",0.00,"2,152.00",1,0.49,100,3/3
Ivory_AC,"3,232.78",0.48,"2,150.63",27,0.67,69,95/136
Reps_BYE,"2,682.67",0.24,"2,143.57",21,0.80,81,75/92
theincredulousk_UNC,"3,656.91",0.32,"2,059.15",34,0.56,81,126/154
doctapat_TEAM,"3,484.04",0.32,"1,923.68",28,0.55,76,87/113
WOT477_TOURNAMENT_NA25,"3,761.00",0.50,"1,777.50",4,0.47,70,12/17
loip123_BYE,"3,859.29",0.46,"1,566.25",24,0.41,70,59/84
platinumdust,"3,227.77",0.46,"1,555.08",13,0.48,75,33/44
Loip__RNG,"3,091.50",0.00,905.75,4,0.29,80,8/10
,,,,,,,0/0
,,,,,,,0/0